Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,RADYASYON,Bulutluluk_Miktari_8_Okta
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,2.0,10.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,3.0,10.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,4.0,10.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,5.0,20.0,2.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,6.0,240.0,3.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,7.0,350.0,3.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,8.0,510.0,4.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,9.0,520.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,10.0,530.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,11.0,430.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,12.0,370.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,13.0,300.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,14.0,240.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,15.0,210.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,16.0,40.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,17.0,10.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,1.0,18.0,10.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,2.0,10.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,3.0,10.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,4.0,10.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,5.0,20.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,6.0,230.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,7.0,300.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,8.0,460.0,4.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,9.0,650.0,3.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,10.0,730.0,4.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,11.0,500.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,12.0,490.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,13.0,570.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,14.0,340.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,15.0,210.0,4.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,16.0,40.0,4.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,17.0,10.0,3.0
17220.0,İZMİR BÖLGE,2020.0,1.0,2.0,18.0,10.0,3.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,2.0,10.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,3.0,10.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,4.0,10.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,5.0,20.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,6.0,240.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,7.0,410.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,8.0,560.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,9.0,680.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,10.0,640.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,11.0,710.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,12.0,610.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,13.0,510.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,14.0,340.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,15.0,200.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,16.0,40.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,17.0,10.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,3.0,18.0,10.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,2.0,10.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,3.0,10.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,4.0,10.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,5.0,20.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,6.0,220.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,7.0,370.0,4.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,8.0,570.0,4.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,9.0,660.0,2.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,10.0,670.0,2.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,11.0,600.0,2.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,12.0,470.0,3.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,13.0,440.0,3.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,14.0,340.0,2.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,15.0,200.0,2.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,16.0,40.0,2.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,17.0,10.0,2.0
17220.0,İZMİR BÖLGE,2020.0,1.0,4.0,18.0,10.0,0.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,2.0,10.0,2.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,3.0,10.0,3.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,4.0,10.0,3.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,5.0,20.0,4.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,6.0,210.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,7.0,280.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,8.0,370.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,9.0,530.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,10.0,540.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,11.0,500.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,12.0,400.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,13.0,330.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,14.0,270.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,15.0,200.0,5.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,16.0,40.0,6.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,17.0,10.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,5.0,18.0,10.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,6.0,2.0,10.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,6.0,3.0,10.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,6.0,4.0,10.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,6.0,5.0,20.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,6.0,6.0,200.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,6.0,7.0,220.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,6.0,8.0,250.0,7.0
17220.0,İZMİR BÖLGE,2020.0,1.0,6.0,9.0,260.0,7.0
